product_id,price,valid_from,valid_to,created_at
264,88.93,1/26/2021,3/3/2020,2/4/2022
441,148.47,10/24/2020,12/6/2020,9/16/2023
87,102.96,11/24/2020,7/19/2020,7/12/2022
543,116.9,12/30/2018,10/21/2021,2/23/2020
499,56.99,5/24/2023,6/24/2021,12/11/2020
978,124.36,9/9/2022,1/27/2022,8/9/2018
469,154.18,3/4/2018,6/5/2020,7/12/2020
240,128.12,6/15/2022,12/25/2023,11/16/2018
327,163.2,6/27/2019,5/15/2018,3/19/2020
335,124.3,8/12/2018,5/29/2022,7/28/2018
304,117.26,10/25/2020,8/24/2023,2/4/2018
348,101.67,9/5/2023,6/14/2022,11/12/2019
980,139.01,3/15/2019,10/1/2019,12/17/2022
624,10.15,6/1/2021,4/5/2019,5/23/2018
478,172.68,8/29/2018,9/27/2018,7/4/2022
667,2.3,11/14/2022,4/1/2023,10/19/2019
864,170.82,10/22/2018,4/19/2018,12/5/2018
558,24.7,1/23/2023,3/1/2023,7/19/2022
809,111.45,3/25/2019,1/28/2019,3/29/2018
415,82.44,5/24/2023,2/6/2022,10/26/2018
557,36.42,12/28/2021,5/29/2023,8/4/2023
749,30.61,9/5/2019,8/3/2023,1/20/2021
798,159.72,2/17/2020,12/25/2020,4/27/2023
65,65.87,8/12/2020,12/10/2021,2/12/2023
452,37.9,8/8/2019,8/24/2019,6/9/2018
759,17.5,9/20/2022,6/6/2018,12/22/2021
127,64.58,1/30/2023,3/3/2018,10/18/2021
862,118.98,3/27/2018,11/21/2019,5/18/2022
701,89.42,1/15/2018,11/2/2019,10/14/2023
413,145.4,5/17/2022,9/11/2023,9/13/2020
715,120.71,10/30/2019,12/25/2020,8/14/2021
740,96.32,4/8/2020,6/18/2023,2/3/2019
222,12.53,7/25/2020,9/22/2022,6/2/2020
224,6.49,7/31/2023,2/14/2023,6/21/2019
395,20.33,5/16/2023,12/8/2020,7/18/2020
317,158.82,11/6/2021,5/13/2021,4/9/2022
32,164.1,2/8/2019,10/23/2021,12/22/2022
317,37.33,1/11/2020,8/5/2020,11/3/2021
891,170.96,6/2/2019,7/22/2021,8/12/2018
843,123.06,8/30/2022,10/12/2022,4/23/2018
244,88.83,7/9/2019,7/27/2023,11/1/2019
364,127.23,2/15/2019,10/9/2018,2/10/2021
406,116.05,4/22/2018,4/24/2023,12/9/2023
82,152.88,5/22/2018,7/14/2019,2/5/2021
916,76.76,1/7/2018,8/19/2023,3/16/2022
964,106.15,4/12/2018,10/21/2020,4/29/2021
363,104.41,3/29/2019,1/5/2020,2/12/2021
402,60.19,10/9/2021,4/25/2018,6/14/2018
347,147.23,6/30/2020,3/27/2019,10/28/2018
720,168.11,11/18/2022,5/24/2019,3/19/2023
404,76.8,2/4/2018,2/28/2019,3/5/2018
702,92.73,5/28/2018,11/25/2023,12/7/2023
41,48.75,3/27/2022,8/30/2020,5/12/2020
28,76.0,1/28/2019,5/25/2021,2/21/2018
202,62.51,9/11/2019,4/1/2022,12/17/2019
352,122.97,12/7/2019,6/21/2019,1/15/2019
656,108.85,3/25/2019,12/27/2023,11/24/2021
159,41.61,3/25/2019,5/28/2023,7/7/2019
430,9.21,6/14/2023,6/10/2018,9/17/2023
597,104.17,7/2/2023,11/21/2019,2/8/2023
154,22.53,6/8/2021,8/23/2019,5/9/2018
43,168.19,9/15/2018,11/11/2021,8/19/2022
64,23.36,12/24/2019,5/15/2023,10/12/2023
873,135.17,1/26/2022,9/13/2019,1/28/2023
689,68.61,3/16/2018,1/2/2019,2/28/2022
293,55.32,8/27/2021,6/7/2020,12/1/2023
167,133.59,5/8/2022,4/17/2020,2/11/2023
172,5.61,2/14/2018,9/11/2022,8/4/2023
441,154.11,8/23/2018,7/5/2019,5/1/2018
843,154.27,7/31/2023,3/9/2019,10/27/2021
779,138.87,1/21/2019,6/28/2021,1/28/2018
46,33.38,9/8/2018,7/30/2021,12/7/2023
248,53.45,5/26/2020,4/19/2021,11/18/2018
610,16.23,1/20/2021,6/22/2022,5/11/2020
549,84.1,7/28/2019,8/24/2023,9/17/2018
913,34.72,8/1/2022,3/14/2023,7/29/2019
247,36.88,12/9/2018,9/21/2019,3/18/2021
318,70.55,2/20/2021,1/17/2022,10/24/2023
393,147.39,9/7/2023,11/30/2023,2/26/2018
167,1.3,9/2/2018,9/26/2018,2/6/2018
834,146.22,10/7/2018,8/14/2019,5/16/2020
163,30.79,6/29/2018,3/18/2022,11/20/2023
907,63.9,5/4/2022,11/5/2021,6/27/2023
891,53.78,4/2/2023,11/15/2022,6/10/2021
589,66.55,10/26/2021,4/21/2020,3/3/2023
177,102.02,8/7/2019,2/17/2020,2/18/2021
743,93.15,2/14/2022,5/29/2022,9/24/2019
141,108.23,12/9/2018,1/27/2019,11/14/2023
991,131.87,6/15/2021,11/16/2021,9/2/2022
111,135.15,1/13/2020,5/1/2020,10/23/2019
881,108.23,7/2/2022,4/5/2022,7/11/2021
279,108.14,9/1/2023,11/17/2018,9/12/2020
316,140.46,6/8/2019,3/8/2018,7/11/2019
563,45.39,7/28/2021,9/15/2020,1/30/2019
260,91.57,4/17/2020,10/22/2019,10/26/2021
396,45.87,2/22/2021,9/21/2021,8/18/2020
498,130.84,1/2/2021,12/9/2023,5/28/2019
569,127.88,9/23/2023,8/22/2018,5/23/2022
44,24.79,3/22/2019,12/31/2021,2/27/2019
949,167.15,11/28/2023,5/9/2022,10/11/2023
131,123.43,5/4/2019,1/27/2018,3/14/2020
144,81.05,6/10/2019,8/4/2021,1/11/2019
242,100.94,4/26/2019,8/8/2021,9/20/2023
146,88.83,6/18/2023,6/4/2018,10/1/2021
492,120.17,10/5/2023,11/1/2020,1/28/2023
739,59.9,8/3/2018,8/16/2019,8/24/2020
329,94.07,12/25/2023,5/28/2020,6/4/2023
130,104.27,10/7/2023,9/8/2020,10/27/2021
480,79.78,4/4/2018,9/10/2019,3/14/2018
374,44.61,6/6/2018,8/28/2021,7/7/2021
217,169.46,6/3/2020,1/19/2022,10/27/2019
446,57.81,5/10/2021,12/17/2019,11/24/2021
237,135.62,6/1/2021,2/7/2018,12/24/2022
77,88.87,2/14/2020,11/10/2019,12/26/2020
337,33.01,7/9/2018,1/30/2019,3/17/2019
680,54.24,3/17/2023,7/18/2021,1/4/2018
413,17.58,4/28/2018,12/3/2021,2/17/2018
784,104.82,6/16/2020,5/17/2019,3/17/2022
354,111.56,8/1/2022,10/16/2021,2/2/2022
950,7.88,10/9/2021,9/20/2022,8/13/2018
539,39.04,7/20/2021,6/20/2019,3/11/2023
682,54.45,1/20/2018,8/29/2018,4/5/2020
852,145.39,3/23/2020,3/20/2022,6/13/2020
663,152.54,5/10/2023,7/24/2018,5/20/2018
683,153.92,11/28/2021,4/8/2023,3/14/2021
878,34.28,2/14/2022,4/29/2018,11/17/2021
679,22.1,7/17/2021,7/12/2020,6/9/2019
898,3.75,9/12/2020,7/25/2018,11/21/2022
942,82.95,4/19/2020,6/22/2023,8/23/2019
502,69.19,5/27/2018,12/1/2018,3/31/2018
548,10.86,3/30/2020,1/22/2020,7/12/2022
656,133.0,10/2/2022,2/17/2022,3/24/2021
332,94.12,5/17/2021,5/8/2020,2/26/2018
998,107.14,3/19/2019,12/14/2019,3/24/2018
790,72.96,2/2/2019,11/28/2019,4/3/2022
457,111.58,3/9/2021,2/13/2019,8/22/2021
623,32.0,3/5/2021,3/17/2020,12/26/2018
228,163.72,1/3/2022,9/19/2019,7/14/2018
123,47.97,3/5/2018,3/22/2018,11/29/2021
451,28.04,12/2/2018,4/9/2019,9/4/2023
294,57.87,10/1/2023,9/7/2018,9/12/2021
331,165.69,6/6/2019,1/26/2023,12/1/2019
47,115.8,10/8/2018,6/15/2020,2/22/2020
613,137.26,1/24/2023,4/29/2023,1/15/2021
735,141.3,1/24/2022,6/6/2020,7/31/2019
795,89.82,6/18/2022,11/4/2020,10/28/2018
523,72.37,10/8/2020,1/15/2018,6/22/2020
627,152.4,2/18/2018,11/17/2020,8/4/2021
871,14.69,10/6/2019,6/5/2022,7/20/2023
505,161.41,7/2/2020,1/19/2021,7/2/2021
890,117.56,7/24/2021,3/28/2023,8/2/2022
160,84.98,1/26/2019,12/9/2021,8/6/2020
509,101.47,4/16/2019,5/24/2023,6/13/2019
6,93.74,9/16/2023,6/21/2023,12/27/2018
886,95.44,8/1/2019,7/13/2023,7/22/2022
228,18.44,1/10/2019,6/9/2020,11/1/2019
576,95.19,2/11/2019,9/29/2021,6/17/2022
79,74.46,8/30/2022,4/17/2021,3/11/2022
335,7.79,3/13/2022,11/18/2020,2/14/2023
687,32.18,6/8/2018,10/29/2023,12/18/2023
901,153.05,5/1/2023,6/23/2019,1/26/2023
383,56.15,11/17/2020,12/4/2020,4/17/2020
349,81.84,4/6/2021,7/7/2018,7/8/2022
752,13.49,10/12/2021,9/8/2022,7/8/2023
114,110.33,5/24/2022,11/28/2020,8/17/2020
180,39.79,4/8/2023,10/23/2018,6/10/2019
432,2.49,8/12/2018,7/28/2020,2/16/2023
145,145.94,5/25/2021,3/20/2020,10/30/2021
869,112.53,5/19/2019,7/3/2022,9/30/2018
595,20.0,1/3/2018,12/24/2019,6/28/2019
862,60.11,8/29/2021,8/18/2021,3/10/2023
940,144.81,12/21/2018,9/11/2020,1/29/2021
176,104.47,1/26/2019,4/5/2018,9/28/2021
741,10.02,1/3/2021,7/12/2022,8/11/2020
633,66.21,5/6/2022,1/6/2019,9/8/2021
280,11.49,9/12/2018,10/29/2021,9/6/2022
287,36.4,9/12/2018,4/18/2023,2/29/2020
735,108.59,2/6/2021,12/23/2023,1/23/2021
365,75.83,5/18/2021,7/4/2023,4/20/2018
907,40.82,11/27/2023,1/23/2018,7/13/2023
272,124.01,11/9/2021,10/20/2020,6/29/2022
674,41.06,1/20/2022,10/13/2021,8/2/2018
248,131.11,2/25/2018,9/10/2023,12/8/2022
822,110.15,3/20/2019,5/17/2020,9/3/2023
469,150.56,10/29/2020,8/2/2019,6/29/2019
373,73.01,6/13/2020,12/29/2021,6/9/2022
692,87.54,3/31/2018,6/5/2018,2/19/2018
208,100.77,11/1/2023,9/11/2018,6/13/2020
60,145.34,1/31/2020,4/4/2023,9/12/2021
87,77.09,5/9/2023,3/1/2018,1/3/2022
485,118.93,4/30/2020,8/19/2018,8/17/2020
902,90.15,6/28/2022,7/23/2023,6/29/2018
151,117.38,8/11/2020,11/26/2022,4/6/2019
206,71.52,2/20/2018,5/9/2020,4/23/2018
839,93.4,2/2/2022,12/2/2020,1/3/2019
70,80.98,5/15/2018,9/30/2021,10/12/2022
189,97.54,9/26/2022,8/15/2021,4/26/2023
261,24.29,11/14/2019,4/30/2023,2/10/2022
850,46.37,7/3/2019,2/23/2019,1/11/2019
78,171.84,6/29/2020,11/8/2023,12/25/2020
556,110.08,2/15/2020,12/26/2018,5/14/2021
467,70.58,3/13/2018,1/22/2018,11/15/2022
970,7.03,4/10/2019,9/17/2022,10/30/2018
514,116.66,12/21/2021,1/4/2020,5/16/2019
76,168.34,1/18/2018,7/12/2020,10/28/2018
261,84.63,4/17/2019,12/9/2018,1/3/2022
13,78.61,11/29/2019,9/6/2019,6/11/2021
9,84.52,12/24/2019,10/8/2021,2/19/2019
365,121.11,7/13/2023,6/11/2018,5/18/2018
858,10.74,4/26/2020,5/5/2019,3/22/2020
215,157.08,8/20/2023,8/28/2018,4/27/2019
758,17.93,12/1/2021,12/10/2021,12/29/2019
504,74.8,2/3/2018,12/21/2023,2/24/2020
492,154.84,4/1/2022,8/13/2022,4/7/2022
596,1.16,8/10/2023,2/12/2023,8/25/2018
457,167.84,11/1/2022,2/24/2020,2/28/2018
93,98.42,5/5/2018,11/18/2023,5/6/2021
564,38.49,1/19/2023,5/18/2020,3/16/2023
806,112.5,5/29/2019,3/15/2021,10/14/2022
622,141.64,11/14/2023,3/1/2020,9/11/2022
338,73.3,10/20/2022,4/26/2019,11/19/2023
448,138.25,6/28/2019,3/14/2023,7/6/2018
164,87.89,6/14/2019,1/14/2019,10/23/2021
887,62.31,5/22/2019,1/1/2021,10/20/2022
829,20.0,9/4/2019,1/26/2022,8/5/2019
494,60.65,5/19/2018,1/25/2018,7/6/2020
777,164.14,12/9/2018,6/16/2018,6/4/2022
714,29.77,4/12/2023,7/4/2020,3/30/2021
867,82.73,2/10/2018,11/29/2021,7/8/2023
395,14.11,10/4/2023,3/31/2018,8/11/2022
976,69.67,7/10/2020,11/10/2018,6/13/2018
563,121.57,6/18/2018,12/29/2023,2/20/2018
303,60.7,6/26/2022,7/6/2018,4/13/2019
864,58.71,11/11/2020,6/18/2019,8/13/2021
402,13.83,5/19/2023,11/14/2021,5/17/2021
341,47.56,6/20/2023,1/17/2023,7/9/2019
638,174.87,8/9/2021,10/4/2020,2/11/2021
416,74.84,4/23/2021,9/26/2022,6/25/2023
2,123.72,1/26/2021,12/1/2018,5/16/2020
321,87.24,7/31/2019,7/31/2023,5/30/2021
20,155.22,7/19/2020,3/19/2021,10/23/2018
731,35.67,2/20/2020,3/6/2021,6/24/2019
262,68.93,3/9/2021,10/30/2021,3/30/2021
754,85.95,4/18/2018,1/24/2021,12/29/2018
243,146.03,1/14/2021,1/28/2020,6/9/2018
289,174.66,2/10/2021,1/5/2020,1/18/2022
141,142.66,10/11/2018,8/14/2018,3/20/2022
391,116.69,5/1/2018,12/15/2022,12/12/2019
753,145.2,3/20/2020,5/26/2018,5/12/2021
238,169.15,9/27/2023,1/11/2019,11/30/2021
507,54.0,9/26/2018,12/20/2021,12/27/2020
951,15.05,2/6/2020,2/7/2020,6/10/2022
43,110.48,2/11/2021,7/6/2019,2/13/2018
680,45.75,9/26/2021,6/3/2021,4/26/2022
151,83.66,8/20/2018,9/13/2018,12/12/2018
512,40.88,2/6/2018,6/21/2023,2/4/2022
962,6.71,10/7/2020,10/21/2020,12/7/2019
680,16.42,5/1/2021,11/23/2018,3/12/2019
646,160.32,10/21/2023,5/8/2023,3/15/2020
114,152.84,3/9/2022,1/5/2022,9/19/2020
296,28.68,12/18/2023,1/11/2020,9/22/2021
392,43.58,3/24/2020,6/15/2022,4/19/2023
256,71.0,6/8/2023,4/28/2023,12/22/2018
948,155.16,2/28/2022,12/7/2020,7/24/2021
130,92.17,9/23/2023,5/8/2023,6/24/2022
168,129.02,2/27/2020,2/13/2021,2/21/2021
237,145.71,4/17/2023,8/12/2021,2/9/2023
572,79.54,5/22/2021,4/19/2023,7/29/2019
227,113.19,6/2/2021,10/25/2019,11/26/2022
642,111.06,6/7/2022,8/7/2018,2/11/2023
653,119.4,11/10/2023,2/20/2022,4/12/2022
159,85.97,10/7/2020,4/30/2019,5/31/2021
15,35.44,8/13/2021,12/7/2018,8/16/2021
380,45.72,9/15/2020,11/29/2019,3/2/2021
461,144.86,3/1/2023,12/28/2023,6/15/2019
346,82.73,8/24/2022,5/23/2020,5/10/2022
335,100.37,7/11/2023,10/24/2019,9/22/2019
742,61.86,10/1/2019,4/5/2020,8/31/2021
811,17.69,6/5/2022,7/8/2020,8/14/2018
805,79.13,1/5/2023,6/29/2023,8/17/2022
283,17.11,6/28/2020,11/22/2019,9/29/2018
159,136.26,5/10/2020,2/27/2021,7/20/2018
94,30.91,8/15/2019,9/16/2021,4/25/2022
589,27.11,9/19/2019,8/2/2021,8/3/2021
741,172.11,4/22/2018,9/12/2019,7/24/2019
611,162.41,1/24/2020,5/28/2021,7/23/2019
260,13.37,11/9/2018,11/9/2023,2/5/2022
98,49.67,10/18/2021,8/6/2020,4/7/2020
980,30.07,5/26/2019,7/11/2023,10/7/2022
168,117.97,12/5/2021,4/11/2021,10/30/2019
591,123.96,3/30/2022,4/12/2020,9/13/2021
652,5.92,4/7/2019,10/19/2023,9/16/2019
823,35.18,1/18/2019,6/5/2022,2/28/2022
35,123.99,7/10/2023,1/26/2019,7/15/2023
792,160.83,9/17/2022,4/26/2023,8/27/2020
711,89.36,5/22/2022,6/19/2019,7/4/2018
950,142.76,3/23/2023,3/25/2021,4/27/2022
184,101.32,5/4/2023,2/20/2023,9/23/2023
518,148.79,12/14/2019,11/17/2022,11/29/2022
905,42.98,12/2/2020,5/9/2022,9/8/2019
792,55.32,8/7/2019,12/25/2018,3/24/2018
297,147.65,11/26/2018,3/20/2018,9/18/2023
15,28.76,12/6/2020,10/29/2018,2/18/2020
829,102.08,2/15/2020,1/17/2019,12/23/2021
331,57.06,1/13/2018,12/15/2020,2/20/2023
956,102.01,12/4/2023,12/4/2023,8/17/2019
336,76.23,5/1/2018,5/16/2020,9/23/2019
506,46.33,8/6/2018,11/4/2022,7/22/2019
509,41.54,7/19/2018,8/6/2019,10/10/2019
928,125.94,3/15/2021,5/25/2019,3/10/2021
282,97.71,2/18/2021,9/27/2018,10/1/2019
421,145.98,1/25/2018,4/20/2019,7/24/2022
377,168.62,6/27/2023,1/27/2022,8/6/2021
178,169.74,1/2/2019,8/18/2022,10/25/2023
110,95.54,7/20/2019,11/2/2018,11/19/2018
935,111.16,10/10/2022,4/18/2023,5/13/2020
94,118.19,5/15/2020,11/4/2021,8/23/2018
569,87.77,12/23/2018,10/17/2023,10/27/2019
118,96.81,12/9/2022,8/10/2019,12/29/2019
641,22.4,5/14/2020,10/2/2023,8/1/2019
256,28.23,1/19/2018,9/10/2018,10/28/2019
238,11.77,10/26/2018,12/1/2023,6/27/2022
163,103.16,10/15/2020,6/19/2022,1/14/2019
975,6.8,8/27/2023,7/29/2022,6/12/2018
669,103.67,2/5/2022,6/14/2019,4/27/2019
696,44.93,12/7/2021,6/20/2023,2/21/2020
650,23.98,5/19/2021,9/22/2021,9/6/2022
176,88.48,6/10/2020,3/3/2019,3/7/2019
240,18.07,1/18/2023,9/10/2023,6/19/2020
230,76.81,5/7/2018,10/5/2022,5/3/2019
182,139.24,8/5/2020,3/15/2018,10/7/2021
998,103.61,1/6/2018,3/5/2020,2/5/2020
861,9.93,10/18/2020,5/24/2018,5/12/2022
69,39.4,10/9/2020,1/29/2019,9/28/2020
660,66.01,2/18/2019,10/21/2020,3/18/2022
706,146.05,10/21/2022,10/6/2018,1/30/2019
322,132.01,4/6/2023,10/7/2021,1/4/2023
845,31.34,6/22/2019,10/6/2019,4/6/2023
865,122.57,7/8/2018,9/10/2020,8/19/2023
310,102.06,8/17/2023,5/16/2020,2/3/2020
938,114.42,4/30/2020,5/31/2020,1/23/2022
708,10.95,4/7/2022,7/23/2019,5/28/2023
750,20.33,3/29/2021,3/24/2022,7/29/2022
470,65.28,7/13/2021,7/5/2019,3/4/2018
744,12.8,1/19/2021,7/24/2023,6/9/2020
251,150.35,1/20/2023,5/19/2019,4/13/2019
323,142.89,8/28/2023,7/30/2018,7/13/2019
147,18.51,3/15/2018,2/5/2020,5/31/2020
262,34.48,8/28/2022,10/3/2021,3/19/2021
