product_name,manufacturer,current_price,quantity,category,subcategory,discount_percentage
Product 693,Meembee,934811.9,1211,Sports,Non-Fiction,81.27
Product 831,Tagfeed,169691.68,5416,Toys,Fitness,44.28
Product 109,Wikibox,626565.78,5036,Home,Skincare,17.5
Product 575,Voomm,969654.29,7632,Books,Board Games,60.7
Product 738,Quinu,410384.32,1021,Sports,Snacks,42.34
Product 975,Linkbuzz,421523.62,893,Books,Board Games,71.08
Product 944,Fatz,454118.33,4523,Home,Fitness,40.88
Product 419,Browsecat,735200.78,9571,Books,Snacks,44.5
Product 980,Livetube,683121.79,1184,Sports,Non-Fiction,25.25
Product 717,Wordify,988378.87,5522,Sports,Makeup,48.58
Product 393,Cogibox,816024.84,4073,Books,Board Games,93.27
Product 335,Meemm,269667.49,2616,Beauty,Fitness,81.91
Product 468,LiveZ,886980.05,8059,Home,Skincare,41.7
Product 432,Feedmix,233615.11,6257,Books,Laptops,55.9
Product 604,Voonix,287176.52,6073,Food,Appliances,24.88
Product 323,Skippad,466701.62,1580,Home,Pants,54.74
Product 957,Divavu,762430.87,7945,Sports,Furniture,36.3
Product 876,Flipbug,852802.82,6844,Beauty,Non-Fiction,9.75
Product 39,Jabberstorm,21181.79,7089,Sports,Makeup,52.69
Product 257,Avamba,552484.37,9280,Home,Board Games,25.89
Product 960,Trunyx,600501.66,2397,Home,Shirts,68.57
Product 411,Skimia,279615.64,2374,Books,Shirts,38.67
Product 190,Jayo,898907.3,3115,Food,Shirts,99.69
Product 990,Buzzdog,811499.2,5351,Clothing,Non-Fiction,53.64
Product 843,Muxo,163030.82,9686,Clothing,TVs,79.05
Product 69,Mymm,833169.09,9168,Toys,Furniture,52.87
Product 412,Topicshots,11282.42,1661,Clothing,Fiction,74.33
Product 61,Skinte,307292.46,393,Toys,Fiction,77.47
Product 868,Mynte,364921.6,1269,Clothing,Non-Fiction,81.7
Product 641,Bluejam,299493.24,2658,Books,Fiction,48.05
Product 663,Meevee,272163.7,7457,Electronics,Fiction,3.05
Product 213,Mymm,844704.63,6072,Books,Snacks,1.59
Product 1000,Meedoo,95588.65,4313,Books,Non-Fiction,76.95
Product 816,Blogtags,436906.29,7931,Sports,Non-Fiction,44.84
Product 749,Meetz,730990.7,7439,Beauty,Skincare,46.25
Product 314,Jaloo,841282.93,8688,Home,Makeup,74.85
Product 76,Babbleopia,641684.38,8546,Beauty,Snacks,77.95
Product 749,Realbuzz,579906.37,7056,Home,Furniture,18.47
Product 394,Browseblab,67152.26,1744,Clothing,TVs,58.95
Product 323,Vidoo,804951.29,4914,Electronics,Board Games,32.9
Product 197,Izio,267305.97,3872,Sports,Makeup,74.64
Product 463,Omba,33359.48,8335,Beauty,TVs,50.13
Product 138,Kimia,801478.73,5492,Home,Non-Fiction,60.85
Product 132,Livetube,303267.76,3940,Clothing,Fiction,78.53
Product 424,Youspan,85649.51,5244,Beauty,Appliances,59.89
Product 972,Roombo,932661.45,4409,Books,TVs,51.26
Product 882,Oyoba,53531.22,1573,Sports,Fiction,38.29
Product 384,Oloo,65935.73,5404,Clothing,Shirts,8.4
Product 453,Photobean,597118.84,5093,Beauty,Fitness,36.35
Product 811,Voonyx,882917.6,7151,Toys,Snacks,54.61
Product 197,Digitube,356226.92,1610,Home,Laptops,66.89
Product 201,Thoughtbridge,532472.95,3127,Sports,Laptops,99.32
Product 612,Feedspan,633090.99,8227,Food,Fiction,24.05
Product 909,Shuffletag,673728.86,6204,Home,Laptops,64.52
Product 273,Youtags,950147.78,6389,Books,Skincare,62.72
Product 373,Buzzbean,19361.13,7337,Electronics,Furniture,52.99
Product 478,Twitterbeat,331576.15,2618,Clothing,Makeup,41.91
Product 828,Topicblab,558200.3,4202,Electronics,Laptops,67.21
Product 277,Thoughtmix,385414.58,1566,Food,Non-Fiction,74.7
Product 970,Feednation,277685.69,5294,Books,Shirts,94.55
Product 308,Oyoba,205795.75,2114,Sports,Shirts,27.18
Product 453,Viva,786982.01,6786,Clothing,Pants,24.68
Product 495,Youfeed,310003.4,7792,Sports,Furniture,27.84
Product 271,Tavu,555953.38,2374,Toys,Fitness,91.48
Product 251,DabZ,2452.33,9443,Toys,Beverages,93.37
Product 255,Quatz,741007.96,2596,Sports,Snacks,28.2
Product 52,Brightbean,104099.23,2431,Home,Furniture,43.87
Product 751,Yabox,382266.07,2486,Books,Appliances,32.65
Product 748,Mudo,481325.19,3065,Electronics,Non-Fiction,86.19
Product 535,Tavu,202758.88,2405,Electronics,Fitness,25.12
Product 420,Rhyloo,329460.2,1625,Home,TVs,66.03
Product 364,Zoozzy,143603.59,1594,Toys,Laptops,91.74
Product 527,Meevee,849618.75,5499,Electronics,Makeup,0.77
Product 546,Katz,659676.64,4114,Electronics,Snacks,97.72
Product 428,Dabfeed,865354.92,1170,Food,Appliances,64.75
Product 352,Browsetype,814872.67,7431,Home,Furniture,47.91
Product 998,Gabcube,523949.03,1560,Beauty,Skincare,88.39
Product 36,Vidoo,915123.22,5658,Beauty,Laptops,44.06
Product 727,Shufflebeat,755862.69,1734,Food,Fitness,99.25
Product 336,Ooba,499823.52,2849,Home,Fiction,19.1
Product 882,Tambee,928822.18,9078,Books,Board Games,50.5
Product 706,Brightdog,991473.18,5277,Food,Pants,78.79
Product 516,Browsebug,953442.7,7240,Food,Fiction,83.74
Product 445,Edgetag,193284.86,48,Clothing,Snacks,19.38
Product 640,Agivu,199978.6,5585,Books,Board Games,20.95
Product 66,Voonte,264814.4,8279,Clothing,Snacks,31.76
Product 818,Eadel,741718.07,2970,Sports,Laptops,60.7
Product 478,Eazzy,457535.62,8230,Electronics,Beverages,92.97
Product 921,Quire,812392.21,119,Home,Furniture,34.55
Product 457,Photobug,879340.9,5275,Home,Laptops,56.54
Product 496,Skiba,674295.08,7207,Sports,Appliances,64.76
Product 898,Oloo,74581.79,5964,Clothing,Shirts,26.1
Product 719,Devshare,464975.4,3687,Clothing,Skincare,84.14
Product 179,Eabox,442343.48,4521,Clothing,Skincare,99.07
Product 389,Dabfeed,284522.62,9180,Electronics,Makeup,5.68
Product 301,Zava,505420.93,2969,Home,Fitness,91.41
Product 101,Fivechat,366156.63,6475,Home,Makeup,50.92
Product 463,Yata,416514.49,7554,Clothing,Shirts,19.95
Product 376,Feedfish,963196.65,4557,Clothing,Fiction,37.97
Product 500,Wordtune,996322.51,7180,Toys,Furniture,58.13
Product 369,Photospace,756785.33,8516,Electronics,TVs,14.75
Product 253,Dablist,425487.97,3964,Home,Beverages,50.64
Product 267,Dabjam,676822.98,6970,Home,Fitness,28.29
Product 366,Brightbean,591576.41,7082,Toys,Non-Fiction,27.91
Product 3,Mita,772164.39,1006,Clothing,Board Games,11.82
Product 473,Oba,434112.95,2351,Books,TVs,11.85
Product 769,Topiclounge,52745.01,8656,Books,Snacks,15.78
Product 213,Eamia,207541.97,7154,Toys,Board Games,68.27
Product 78,Yabox,260408.96,8176,Beauty,Furniture,82.79
Product 409,Yodo,685408.72,7019,Beauty,Board Games,7.31
Product 427,Blogspan,293949.48,1150,Books,Makeup,81.41
Product 161,Eidel,175428.95,9563,Electronics,Shirts,20.36
Product 839,Realblab,245831.79,3255,Toys,TVs,24.75
Product 357,Vidoo,46762.1,8275,Beauty,TVs,35.59
Product 135,Cogilith,758530.49,5366,Sports,Pants,91.72
Product 628,Jabbersphere,24561.5,4444,Clothing,Fiction,83.88
Product 922,Edgeify,807418.98,7430,Food,Pants,92.48
Product 713,Buzzbean,37638.19,3395,Beauty,Furniture,92.17
Product 437,Miboo,326790.18,8313,Clothing,Shirts,20.51
Product 799,Topicblab,157430.71,7593,Food,Beverages,81.34
Product 329,Chatterbridge,74530.88,9801,Sports,Fitness,81.33
Product 833,Skynoodle,429750.78,3506,Home,Furniture,56.69
Product 797,Quire,626718.19,1092,Beauty,Laptops,32.43
Product 485,Zoozzy,892956.81,1494,Electronics,Makeup,5.32
Product 21,Oloo,948691.84,1367,Food,Non-Fiction,34.37
Product 983,Yamia,413852.29,1957,Food,Makeup,2.96
Product 383,Edgewire,826888.17,1186,Sports,TVs,31.07
Product 734,Tazzy,653747.9,7496,Books,Fiction,33.11
Product 940,Aimbu,312922.03,8294,Food,Makeup,60.74
Product 654,Tazz,337354.91,6855,Home,TVs,2.17
Product 989,Yotz,579660.78,8328,Sports,Pants,47.33
Product 145,Kazu,450402.46,3760,Home,Snacks,55.16
Product 660,Mita,625223.2,8443,Food,Furniture,50.3
Product 155,Meejo,11170.24,9842,Electronics,Makeup,9.45
Product 406,Eabox,820536.47,2813,Home,Pants,41.72
Product 572,Bubblebox,869095.36,1339,Clothing,Beverages,22.96
Product 560,Kwinu,986510.23,5410,Electronics,Skincare,27.03
Product 1000,Thoughtsphere,419360.97,6502,Sports,Makeup,46.33
Product 479,Feedfire,295903.24,6456,Books,Non-Fiction,56.66
Product 984,Lajo,536415.58,3176,Toys,Makeup,45.37
Product 745,Dynabox,397927.38,795,Electronics,Non-Fiction,3.82
Product 695,Mudo,336759.08,8593,Beauty,Laptops,5.56
Product 752,Buzzster,496799.26,3371,Books,Shirts,25.91
Product 301,Thoughtworks,106607.23,3951,Beauty,Shirts,98.32
Product 485,Kare,380728.19,3787,Beauty,Skincare,49.21
Product 662,Skimia,220584.39,6315,Beauty,Furniture,75.85
Product 918,Jaxworks,555742.11,5650,Toys,Furniture,60.27
Product 879,Talane,327535.62,9065,Clothing,Shirts,92.11
Product 839,Yamia,718971.73,7505,Home,Board Games,61.38
Product 955,Chatterpoint,711472.82,9863,Toys,Board Games,76.16
Product 980,Gabtype,974165.77,424,Home,Non-Fiction,4.49
Product 923,Vinte,919830.56,4698,Books,Beverages,43.2
Product 111,Realmix,344093.62,3138,Toys,Laptops,47.32
Product 896,Livepath,544590.23,2217,Electronics,Skincare,60.45
Product 242,Teklist,190221.21,8055,Clothing,Board Games,67.8
Product 952,Kaymbo,894366.48,8866,Food,Fiction,8.58
Product 116,Minyx,687933.66,5859,Food,Fiction,12.94
Product 785,Midel,556715.82,9479,Beauty,Laptops,71.16
Product 193,Rooxo,649696.83,4567,Clothing,Appliances,38.3
Product 985,DabZ,30492.11,1389,Clothing,Snacks,37.92
Product 178,Twitterbridge,432384.11,4176,Sports,Laptops,29.58
Product 799,Trupe,970683.7,6409,Food,Furniture,33.33
Product 622,Vipe,2398.96,4975,Books,Appliances,86.77
Product 78,Jatri,910546.81,8833,Food,Makeup,21.41
Product 602,Dabfeed,105383.84,8436,Home,TVs,62.44
Product 706,Quimba,2166.78,8757,Sports,Furniture,22.81
Product 379,Shuffletag,597280.08,7298,Beauty,Non-Fiction,86.88
Product 120,Geba,594862.88,2307,Toys,Non-Fiction,13.28
Product 714,Oozz,351701.51,3181,Electronics,TVs,2.71
Product 45,Browsebug,617616.38,8867,Sports,Beverages,29.23
Product 526,Feedfish,758233.59,8061,Books,Makeup,25.09
Product 274,Wordpedia,403392.75,1415,Food,Board Games,97.14
Product 493,Centizu,771951.27,8211,Clothing,TVs,9.34
Product 987,Trilia,230935.82,5822,Beauty,Makeup,43.07
Product 68,Skibox,698905.77,447,Toys,Appliances,21.39
Product 582,Blogtag,420016.52,5937,Clothing,Fiction,30.42
Product 475,Thoughtworks,68352.84,8430,Home,Snacks,4.09
Product 541,Pixope,992963.8,470,Beauty,Skincare,93.31
Product 137,Skiptube,767127.55,4304,Food,Makeup,16.27
Product 240,Skyba,852302.1,94,Beauty,Shirts,2.98
Product 111,Latz,729600.89,8650,Books,Appliances,43
Product 881,Jazzy,11514.78,5838,Sports,Skincare,25.68
Product 821,Dabfeed,869742.24,6277,Clothing,TVs,55.77
Product 79,Snaptags,292854.48,6429,Food,Snacks,75.6
Product 710,Kayveo,88417.68,6948,Food,Beverages,53.71
Product 691,Gabvine,544334.42,4022,Sports,Fitness,72.36
Product 484,Skipstorm,247603.85,2101,Books,Beverages,48.25
Product 502,Wordify,514824.29,4391,Sports,Fiction,55.49
Product 441,Jabberstorm,200093.91,8531,Food,Appliances,28.37
Product 322,Skinix,448548.44,3153,Electronics,Pants,77.41
Product 833,Bubbletube,390044.22,6778,Food,Fitness,92.63
Product 978,Rooxo,437114.71,9952,Clothing,Laptops,39.88
Product 971,Rhynyx,118371.79,1009,Home,Snacks,42.12
Product 166,Tagchat,559515.64,2124,Home,Fiction,69.33
Product 476,Quamba,276792.37,2930,Food,Makeup,18.45
Product 654,Zoombox,12341.6,336,Electronics,Snacks,96.75
Product 301,Feedmix,86499.36,1327,Electronics,TVs,9.96
Product 828,Youspan,741956.69,4058,Sports,Board Games,47.47
Product 595,Myworks,174619.67,4353,Beauty,Laptops,83.23
Product 98,Snaptags,752934.06,5330,Beauty,Skincare,93.04
Product 954,Roomm,921173.06,7036,Books,Furniture,18.32
Product 157,LiveZ,554074.72,936,Clothing,Snacks,82.88
Product 312,Plajo,816486.4,2271,Electronics,Laptops,18.29
Product 365,Wordware,292376.17,4932,Books,Non-Fiction,39.5
Product 481,Dynava,694912.17,2588,Clothing,Furniture,91.94
Product 203,Agivu,19656.12,5861,Books,Fitness,97.84
Product 794,Plambee,560191.27,537,Books,Fitness,72.94
Product 264,Wordify,721966.27,1372,Home,Skincare,40.35
Product 188,Wordware,898832.22,2189,Electronics,Fiction,6.13
Product 939,Cogibox,342098.73,556,Beauty,Laptops,89.77
Product 787,Youbridge,823742.36,2587,Toys,Skincare,52.03
Product 846,Twitterworks,682954.44,5047,Beauty,Pants,0.35
Product 794,Tagpad,356986.84,1806,Food,Skincare,10.05
Product 910,Realcube,410917.77,8057,Sports,Fitness,93.73
Product 858,Babblestorm,923766.46,7813,Electronics,Furniture,73.82
Product 627,Skilith,376116.77,8998,Books,Fitness,56.73
Product 517,Browsetype,198161.12,920,Toys,Non-Fiction,32.5
Product 221,Thoughtstorm,910741.13,1953,Food,Appliances,1.86
Product 550,Eidel,762322.14,5569,Electronics,Snacks,98.73
Product 247,Feednation,664364.74,8061,Beauty,Beverages,95.15
Product 952,Oozz,926003.44,6836,Electronics,Shirts,41.88
Product 342,Voonte,351268.28,7411,Home,Pants,19.63
Product 969,Pixonyx,666106.32,6635,Electronics,TVs,58.65
Product 204,Zoomdog,568338.66,104,Clothing,Board Games,59.69
Product 525,Linktype,264355.23,1888,Electronics,Makeup,84.08
Product 119,Quamba,224221.84,1879,Food,Shirts,32.31
Product 861,Yacero,228580.32,6421,Food,Board Games,58.48
Product 336,Divape,126872.2,81,Clothing,Beverages,21.61
Product 90,Devshare,962356.75,9603,Beauty,Fiction,53.88
Product 72,Dynava,158935.92,8005,Electronics,Board Games,0.19
Product 109,Wordtune,425026.73,6743,Books,Laptops,30.52
Product 861,Geba,353535.33,7485,Food,Fitness,9.77
Product 295,Oyoba,264578.31,5966,Food,TVs,15.22
Product 864,Yakijo,956743.64,4277,Sports,Skincare,82.25
Product 938,Zoomdog,350385.38,8869,Clothing,TVs,67.95
Product 826,Twitternation,445556.98,8055,Food,Appliances,43.11
Product 745,Rhyzio,294532.24,8384,Sports,Fiction,49.19
Product 67,Omba,501641,6979,Food,Makeup,7.06
Product 648,Oyope,942080.95,1932,Sports,Pants,61.22
Product 645,Riffpedia,262377.31,2589,Food,Fiction,88.19
Product 615,Vinder,541859.32,2538,Clothing,Skincare,59.28
Product 307,Topicshots,531975.68,8235,Toys,Laptops,98.27
Product 644,Digitube,953946.02,2885,Electronics,Skincare,70.89
Product 437,Meemm,685191.12,1702,Home,Board Games,44.53
Product 693,Dynazzy,150629.14,5147,Food,Skincare,10.17
Product 985,Tambee,191057.11,3246,Toys,Fitness,81.06
Product 58,DabZ,890157.71,1651,Books,Appliances,75.01
Product 10,Aibox,901912.57,5323,Books,Shirts,7.57
Product 542,Teklist,363469.08,9366,Books,Beverages,52.84
Product 685,Twinte,791080.28,8395,Sports,Appliances,80.74
Product 538,Eare,140817.22,9019,Books,Fitness,50.77
Product 456,Jaloo,590177.22,4055,Clothing,Snacks,13.64
Product 843,Dynabox,473011.72,414,Sports,Appliances,41.89
Product 491,Blogspan,88832.86,1585,Sports,Snacks,31.28
Product 663,Tambee,263858.5,260,Home,Snacks,11.97
Product 363,Voolith,96692.53,6131,Home,Board Games,42.13
Product 32,Innojam,316341.9,4547,Food,TVs,93.03
Product 714,Eayo,709278.99,1386,Beauty,Appliances,97.81
Product 579,Linkbridge,804032.85,9727,Beauty,Non-Fiction,65.86
Product 568,Katz,410407.83,7302,Electronics,Makeup,86.24
Product 552,Twinder,341912.81,9649,Electronics,Board Games,37.08
Product 805,Oodoo,448083.73,8796,Home,Makeup,82.22
Product 758,Gabtype,998029.31,234,Electronics,Makeup,1.32
Product 281,Ainyx,599312.96,763,Food,Laptops,6.32
Product 51,Kimia,122539.99,8990,Food,Beverages,61.21
Product 34,Browsetype,699732.8,9013,Clothing,Beverages,31.35
Product 609,Mita,793109.65,1352,Home,Laptops,29.22
Product 222,Topicware,24393.75,4816,Sports,Board Games,69.23
Product 858,Zooxo,276208.3,5449,Clothing,Appliances,43.95
Product 405,Muxo,338169.79,6285,Books,Non-Fiction,93.56
Product 327,Browsedrive,784859.11,9483,Beauty,Snacks,12.72
Product 87,Thoughtstorm,63679.13,7338,Books,Beverages,3.86
Product 445,Agimba,479840.1,5618,Electronics,Pants,27.81
Product 263,Photolist,244378.46,1595,Clothing,Non-Fiction,62.24
Product 258,Skimia,293672.97,8754,Electronics,Skincare,29.39
Product 1,Zoozzy,359204.1,8299,Books,Non-Fiction,58.22
Product 243,Yakitri,160356.22,3725,Books,Fitness,15.7
Product 838,Avavee,468281.71,1833,Electronics,Furniture,39.27
Product 496,Pixoboo,766162.38,6280,Beauty,Skincare,82.9
Product 220,Jatri,288083.41,3823,Clothing,Shirts,15.73
Product 581,Pixoboo,365249.26,5516,Electronics,Fitness,27.83
Product 391,Topicstorm,409975.32,5254,Clothing,Beverages,5.27
Product 510,Camimbo,618171.03,909,Food,Makeup,5.56
Product 899,Avamm,797014.06,5353,Home,Furniture,27.03
Product 469,Mybuzz,28304.35,6662,Food,Fitness,19.11
Product 485,Chatterpoint,392628.99,9851,Beauty,Appliances,16.91
Product 443,Jaloo,611929.19,1538,Toys,Non-Fiction,92.41
Product 10,Zoomzone,686584.14,5298,Food,Makeup,35.09
Product 492,Demivee,923073.47,1535,Beauty,Snacks,26.19
Product 436,Meevee,761691.03,5509,Food,Skincare,58.66
Product 549,Fliptune,616026.92,7130,Books,Shirts,3.4
Product 592,Izio,957699.32,3316,Books,TVs,45
Product 447,LiveZ,940154.86,1320,Electronics,Fitness,14.68
Product 471,Tambee,449406.19,4580,Beauty,Board Games,22.01
Product 466,Yakidoo,223415.62,7605,Electronics,Appliances,47.9
Product 719,Flashpoint,96230.78,8916,Home,Skincare,51.12
Product 60,Trilith,146871.97,2487,Sports,Makeup,25.27
Product 641,Innojam,421273.99,1155,Beauty,TVs,82.06
Product 390,Gabtune,949371.48,4795,Home,Shirts,8.87
Product 78,Jaxspan,959637.95,8692,Sports,Fiction,62
Product 334,Eazzy,131218.85,8288,Clothing,Fiction,68.91
Product 857,Roomm,629679.26,1395,Beauty,Snacks,80.94
Product 216,Voonte,685331.52,1824,Home,Fiction,8.46
Product 146,Flipopia,169369.03,145,Clothing,Skincare,71.16
Product 549,Jabbertype,132108.84,7162,Books,Appliances,16.09
Product 572,Tazz,463583.56,6901,Beauty,Laptops,81.53
Product 641,Skimia,897484.5,1786,Home,Makeup,44.7
Product 603,Twitterlist,540545.57,29,Beauty,Snacks,42.94
Product 174,Edgeclub,740845.6,5345,Toys,Beverages,57.92
Product 821,Yamia,798174.92,9649,Beauty,TVs,93.77
Product 12,Skipstorm,873695.13,8512,Home,Furniture,99.51
Product 113,Youspan,621057.28,4797,Electronics,Snacks,90.7
Product 564,Photojam,271330.1,290,Food,TVs,35
Product 112,Feedmix,829314.19,1352,Sports,Snacks,11.49
Product 316,Eazzy,398121.02,3898,Clothing,Furniture,24.95
Product 768,Linkbuzz,422453.45,8059,Clothing,Fitness,80.75
Product 743,Oyope,796900.8,5321,Food,Appliances,0.7
Product 246,Vipe,529944.62,9102,Beauty,Laptops,4.59
Product 864,Meembee,118792.4,1579,Books,Pants,99.37
Product 893,Cogilith,591416.99,1049,Books,Non-Fiction,54.21
Product 333,Tavu,329326.99,5435,Sports,Skincare,1.62
Product 922,Wikido,674291.8,1950,Home,Laptops,27.32
Product 375,Vinte,273336.61,561,Beauty,Non-Fiction,53.42
Product 467,Vinte,187009.76,3496,Toys,Board Games,80.43
